Year,Conservation Status,Kilotons of Co2,Metric Tons Per Capita,Population,GDP,Fossils,Renewables,Scientific Name_Crocodylus acutus,Scientific Name_Crocodylus intermedius,Scientific Name_Crocodylus johnstoni,Scientific Name_Crocodylus mindorensis,Scientific Name_Crocodylus moreletii,Scientific Name_Crocodylus niloticus,Scientific Name_Crocodylus novaeguineae,Scientific Name_Crocodylus palustris,Scientific Name_Crocodylus porosus,Scientific Name_Crocodylus rhombifer,Scientific Name_Crocodylus siamensis,Scientific Name_Crocodylus suchus,Scientific Name_Mecistops cataphractus,Scientific Name_Mecistops leptorhynchus,Scientific Name_Osteolaemus tetraspis,Country_Australia,Country_Cambodia,Country_Cameroon,Country_Chad,Country_Colombia,Country_Costa Rica,Country_Cuba,Country_Egypt,Country_Gabon,Country_Ghana,Country_Guatemala,Country_Guinea,Country_India,Country_Indonesia,Country_Iran,Country_Kenya,Country_Liberia,Country_Malaysia,Country_Mali,Country_Mauritania,Country_Mexico,Country_Nepal,Country_Niger,Country_Nigeria,Country_Pakistan,Country_Philippines,Country_Senegal,Country_Sierra Leone,Country_South Africa,Country_Sri Lanka,Country_Tanzania,Country_Thailand,Country_Uganda,Country_United States,Country_Venezuela,Country_Vietnam
2015,Vulnerable,163130.0,5.34,30529722.0,558924234752.0,44.95,74.25,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
2010,Critically Endangered,164100.01,5.71,28715026.0,478283169792.0,34.76,76.01,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
2010,Critically Endangered,234380.0,3.43,68270488.0,876003852288.0,141.72,8.58,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
2016,Least Concern,473310.0,3.89,121519224.0,1923887267840.0,239.78,52.97,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2018,Vulnerable,1130.0,0.23,4889396.0,3936415744.0,0.32,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2015,Critically Endangered,8430.0,0.55,15417527.0,48358453248.0,2.1,2.16,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2006,Vulnerable,448299.99,4.19,106886792.0,1510627082240.0,182.76,43.63,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2007,Least Concern,457120.0,4.22,108302976.0,1572355440640.0,191.83,42.14,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2017,Least Concern,133500.0,1.25,106738496.0,858818805760.0,71.03,23.35,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
2013,Least Concern,10810.0,0.22,49253648.0,116367294464.0,3.53,2.24,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
