section,section_id,section_sis_id,"1641685: What percentage of the course do you think should be focused on mathematical theory (like formulas and proofs) versus practical application (like coding, examples, and hands-on projects)?",1641686: How comfortable are you with math right now?,"1641687: Besides math, what is one thing you would like to see MORE of in this course? (e.g., more coding labs, real-world case studies, group projects, etc.)",score
F25-CS4771-01 202510 48912,40373,202510_48912,I am fine with whatever.,"Very comfortable, bring on the equations!",I prefer to see more coding labs so that we i can transfer the knowledge to my own real world problem. ,20.0
F25-CS4771-01 202510 48912,40373,202510_48912,25% Math / 75% Application,Pretty confident.,"I want to see results of small ML algorithms and such for hope and confidence in building my own things. Not just a ton of printed out numbers, but something a little easier to visualize like decisions or classification.",20.0
F25-CS4771-01 202510 48912,40373,202510_48912,10% Math / 90% Application,"Neutral, I'm okay with it.","I would like to see more of the machine learning examples, for instance, how to do k-clustering among other machine learning techniques on a given data set and how to interpret the results. Real world case studies would be interesting too, relating to machine learning in some aspect and analyzing those. ",20.0
F25  CS5771-71 202510 49977,40178,202510_49977,25% Math / 75% Application,I don’t care because I close my eyes whenever I see an equation.,Coding labs with data sets and data cleaning techniques. I feel least confident about preparing data for use in a model.,20.0
F25-CS4771-01 202510 48912,40373,202510_48912,10% Math / 90% Application,"Neutral, I'm okay with it.","I would like to see more group projects. They are a great way for people to learn how to work with other programmers, which is a necessary skill in the field.",20.0
F25  CS5771-51 202510 48930,40430,202510_48930,40% Math / 60% Application,"Very comfortable, bring on the equations!",I would like more coding labs and or class room coding where we go through each of the concepts based on a dataset. Please no group projects.,20.0
F25-CS4771-01 202510 48912,40373,202510_48912,40% Math / 60% Application,"Neutral, I'm okay with it.",Maybe more group project,20.0
F25-CS4771-01 202510 48912,40373,202510_48912,I am fine with whatever.,"Neutral, I'm okay with it.","Real-world case studies, So it helps understand each part soo good!",20.0
F25-CS4771-01 202510 48912,40373,202510_48912,10% Math / 90% Application,"Very comfortable, bring on the equations!","If we could do more coding labs inside and outside of class, that would be great. I learn best when I get to practice the code in a real sense.",20.0
F25  CS4771-71 202510 49800,39766,202510_49800,10% Math / 90% Application,"Neutral, I'm okay with it.",Practice applying the concepts in practical applications and coding labs.,20.0
F25-CS5771-11 202510 50901,41384,202510_50901,25% Math / 75% Application,"Neutral, I'm okay with it.",I would like to learn about some of the models that are currently being released. ,20.0
F25-CS4771-01 202510 48912,40373,202510_48912,25% Math / 75% Application,Pretty confident.,Case Studies and more coding labs,20.0
F25  CS5771-51 202510 48930,40430,202510_48930,25% Math / 75% Application,"Neutral, I'm okay with it.",I would like to see more coding labs and examples that illustrate various concepts.,20.0
