MONTH,DAY_OF_MONTH,FL_DATE,MKT_CARRIER,OP_CARRIER,ORIGIN,DEST,CRS_ELAPSED_TIME,DISTANCE,CRS_DEP_1hrpre,CRS_DEP_1hrpost,DEP_1hrpre_num,Arr_1hrpre_num,max_temp_f,min_temp_f,max_dewpoint_f,min_dewpoint_f,precip_in,avg_wind_speed_kts,snow_in,avg_feel,FAA_class,scheduled_Turnarnd,Scheduled_DEP,Scheduled_ARR_Ori,Actual_ARR_dt_Ori,Scheduled_DEP_EST,Scheduled_ARR_EST,Scheduled_ARR_Local,late_airjet_when_turnaround_within_180,day_of_week,DEP_DEL15
10,12,2023-10-12,DL,DL,ATL,LAS,267.0,1747,12OCT23:20:00:00,12OCT23:22:00:00,66,38,69,59,58.0,57.0,0.55,13.121541,0.0,62.653633,Lrg,70.0,10/12/2023 21:55:00,10/13/2023  2:22:00,10/13/2023  2:41:00,10/12/2023 21:55:00,10/13/2023  2:22:00,10/12/2023 23:22:00,0,Thursday,0.0
7,20,2023-07-20,DL,DL,ATL,ROA,83.0,357,20JUL23:22:00:00,21JUL23:00:00:00,69,2,96,74,75.0,67.0,0.0001,7.820786,0.0,87.281876,Lrg,65.0,07/20/2023 23:06:00,07/21/2023  0:29:00,07/21/2023  4:04:00,07/20/2023 23:06:00,07/21/2023  0:29:00,07/21/2023  0:29:00,1,Thursday,1.0
8,26,2023-08-26,AA,AA,SAN,PHL,318.0,2370,26AUG23:08:00:00,26AUG23:10:00:00,16,14,76,65,66.0,61.0,0.0,6.082834,0.0,70.16097,Lrg,51.0,08/26/2023  9:26:00,08/26/2023 14:44:00,08/26/2023 14:18:00,08/26/2023 12:26:00,08/26/2023 17:44:00,08/26/2023 17:44:00,0,Saturday,0.0
10,9,2023-10-09,AA,AA,ORD,PHL,122.0,678,09OCT23:07:00:00,09OCT23:09:00:00,60,21,59,44,37.0,23.0,0.0,7.994581,0.0,49.40151,Lrg,61.0,10/09/2023  8:31:00,10/09/2023 10:33:00,10/09/2023 10:18:00,10/09/2023  9:31:00,10/09/2023 11:33:00,10/09/2023 11:33:00,0,Monday,0.0
11,30,2023-11-30,UA,OO,SFO,TUS,137.0,751,30NOV23:08:00:00,30NOV23:10:00:00,36,0,63,53,50.0,43.0,0.0001,11.5573845,0.0,57.21727,Lrg,80.0,11/30/2023  9:10:00,11/30/2023 11:27:00,11/30/2023 11:13:00,11/30/2023 12:10:00,11/30/2023 14:27:00,11/30/2023 12:27:00,1,Thursday,0.0
8,18,2023-08-18,WN,WN,LAS,ONT,60.0,197,18AUG23:06:00:00,18AUG23:08:00:00,39,0,95,72,67.0,32.0,0.3,7.386298,0.0,83.80274,Lrg,35.0,08/18/2023  7:15:00,08/18/2023  8:15:00,08/18/2023  8:55:00,08/18/2023 10:15:00,08/18/2023 11:15:00,08/18/2023  8:15:00,0,Friday,1.0
3,28,2023-03-28,DL,YX,BOS,LGA,95.0,184,28MAR23:18:00:00,28MAR23:20:00:00,27,33,46,37,37.0,21.9,0.23,5.0400624,0.0,36.43922,Lrg,53.0,03/28/2023 19:00:00,03/28/2023 20:35:00,03/28/2023 20:18:00,03/28/2023 19:00:00,03/28/2023 20:35:00,03/28/2023 20:35:00,0,Tuesday,0.0
9,21,2023-09-21,UA,UA,DEN,RDM,155.0,898,21SEP23:18:00:00,21SEP23:20:00:00,38,2,81,50,47.0,31.0,0.0,6.95181,0.0,65.210365,Lrg,640.0,09/21/2023 19:20:00,09/21/2023 21:55:00,09/21/2023 21:55:00,09/21/2023 21:20:00,09/21/2023 23:55:00,09/21/2023 20:55:00,0,Thursday,1.0
11,30,2023-11-30,DL,DL,MSP,MCO,200.0,1310,30NOV23:14:00:00,30NOV23:16:00:00,17,18,42,24,27.0,18.0,0.0,6.6042194,0.0,27.105923,Lrg,70.0,11/30/2023 15:29:00,11/30/2023 18:49:00,11/30/2023 18:19:00,11/30/2023 16:29:00,11/30/2023 19:49:00,11/30/2023 19:49:00,0,Thursday,0.0
6,23,2023-06-23,AA,AA,PHX,CMH,228.0,1670,23JUN23:15:00:00,23JUN23:17:00:00,32,7,103,77,30.0,-7.1,0.0,4.7793694,0.0,84.81914,Lrg,363.0,06/23/2023 16:10:00,06/23/2023 19:58:00,06/23/2023 21:37:00,06/23/2023 19:10:00,06/23/2023 21:58:00,06/23/2023 22:58:00,0,Friday,1.0
